eta,theoretical bound,practical sample
0.2,13871.098914953436,5682.0
"[6252, 1086, 1655, 17445, 1972]"
0.25,19974.382437532946,2728.2
"[6252, 1086, 1655, 17445, 1972]","[2607, 1548, 3474, 2499, 3513]"
