eta,theoretical bound,practical sample
0.0,4699.170911837237,149.04
0.05,5801.44557016943,259.84
0.1,7342.454549745682,348.96
0.15,9590.14471803518,604.4
0.2,13053.252532881217,978.0
0.25,18796.68364734895,1474.56
0.3,29369.81819898275,3013.2
0.35,52213.01013152489,6352.0
0.4,117479.272795931,9014.4
