eta,theoretical bound,practical sample
0.0,3223.4190301249464,305.16
0.05,3979.5296668209216,470.24
0.1,5036.592234570227,771.68
0.15000000000000002,6578.406183928463,1036.96
0.2,8953.941750347074,1779.84
0.25,12893.676120499786,2706.96
0.30000000000000004,20146.368938280924,4484.4
0.35000000000000003,35815.76700138831,8446.7
