eta,theoretical bound,practical sample
0.0,5342.945076808378,360.16
0.05,6596.228489886887,538.24
0.1,8348.351682513088,696.4
0.15000000000000002,10903.969544506896,1070.72
0.2,14841.514102245497,1508.2
0.25,21371.780307233512,2509.12
0.30000000000000004,33393.40673005238,4021.9
0.35000000000000003,59366.05640898201,6659.4
