eta,theoretical bound,practical sample
0,4993.5956093832365,1152.8
355,246,825,2472,1866
0.05,6164.932851090415,3385.8
122,3256,1115,8665,3771
0.1,7802.493139661306,2706.6
1617,390,8298,2798,430
0.15,10191.011447720894,4311.8
3304,4373,1200,10774,1908
6, 1115, 8665, 3771]","[1617, 390, 8298, 2798, 430]"
0.15,10191.011447720894,4311.8
"[355, 246, 825, 2472, 1866]","[122, 3256, 1115, 8665, 3771]","[1617, 390, 8298, 2798, 430]","[3304, 4373, 1200, 10774, 1908]"
