eta,theoretical bound,practical sample
0.0,8660.565932851689,378.4
0.05,10692.056707224307,555.5
0.1,13532.13427008076,906.3
0.15000000000000002,17674.62435275855,1761.4
0.2,24057.12759125469,2293.7
0.25,34642.263731406754,3498.4
